행정구역별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국(평균),1289.7,997.3,1470.6,1861.0,1456.9,1286.4,1424.3,1450.1,988.7,1204.9,1444.9,1622.6,1479.1,1162.9,1173.8,949.0,1272.5,967.8,1386.9,1193.0,1627.0,1249.2
서울특별시,1186.8,1386.0,1388.0,2012.0,1499.1,1358.4,1681.9,1212.3,1356.3,1564.0,2043.5,2039.3,1646.3,1403.8,808.9,792.1,991.7,1233.2,1284.1,891.3,1651.1,1186.5
부산광역시,1248.5,1171.3,2085.2,2328.3,1386.5,1383.9,1528.3,1276.5,1168.3,1772.9,1441.9,1478.6,1983.3,1130.1,1693.1,1396.7,1760.2,1014.4,1778.6,1623.2,2281.6,1807.8
대구광역시,1087.3,878.3,1291.3,1749.9,1222.4,834.3,1131.5,973.9,761.4,832.5,1204.5,1430.4,1189.9,571.2,1047.6,548.5,1227.3,663.7,1297.6,995.7,1244.9,910.0
인천광역시,772.0,979.7,919.6,1403.5,1175.2,1040.1,1044.8,1168.0,1121.0,1208.6,1529.1,1592.4,1221.6,1107.9,595.3,633.8,899.7,724.4,1012.6,864.7,1335.7,1068.4
광주광역시,1511.0,1129.9,1458.7,1994.1,1742.3,1289.6,1520.2,1620.6,1007.2,1488.2,1573.1,1300.3,1626.8,1245.4,1290.3,1049.6,1482.3,936.6,1427.9,1085.9,2027.0,1303.8
대전광역시,1707.5,828.7,1378.7,1748.9,1496.5,1656.1,1195.2,1750.9,1037.6,1090.4,1419.7,1943.4,1409.5,1120.2,1117.7,822.7,1228.4,1127.5,1542.1,984.2,1614.0,1109.5
울산광역시,1027.1,869.1,1559.8,1864.2,1250.1,1135.7,1393.9,1135.8,1112.3,1133.2,1161.6,1233.2,1458.1,858.3,1398.7,1044.6,1693.9,671.4,1416.1,1450.1,1557.9,1337.0
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,959.3,1685.8,1104.6
경기도,1224.6,1066.1,1289.1,1725.5,1334.9,1402.7,1428.6,1330.4,1350.9,1510.9,1713.9,2118.8,1531.9,1421.6,799.0,820.0,1016.1,1094.9,1316.7,1000.5,1585.0,1050.7
강원도,1204.9,1066.0,1608.3,1880.5,1466.2,1453.6,1731.0,1437.3,1145.8,1300.1,1253.5,1830.7,1264.7,1230.3,1006.0,893.9,1065.1,1101.8,1450.0,1094.6,1575.1,1129.9
충청북도,1304.0,817.6,1399.3,1802.8,1474.3,1375.6,1300.8,1576.8,888.2,1071.4,1340.6,1864.4,1409.5,1165.4,990.5,787.6,1080.3,1137.9,1370.7,941.1,1535.9,1151.2
충청남도,1460.3,872.1,1363.6,1590.4,1383.6,1362.4,1088.1,1513.3,879.5,1074.8,1560.9,1821.3,1455.7,1147.0,1060.7,713.0,989.2,1013.5,1313.7,913.2,1537.8,1171.7
전라북도,1442.2,1134.2,1390.5,1903.1,1396.2,1404.5,1264.6,1464.1,829.4,1258.6,1452.6,1542.1,1547.6,1255.7,1281.9,933.0,1254.5,949.3,1435.3,1148.2,1822.2,1276.1
전라남도,1294.4,1037.4,1565.3,1914.3,1588.7,1136.5,1499.2,1640.4,1019.1,1211.4,1617.2,1508.3,1688.8,1206.4,1486.4,1246.3,1499.6,867.4,1479.3,1401.9,1616.3,1392.4
경상북도,1099.0,914.8,1428.7,1859.3,1385.2,1139.1,1374.7,1311.9,910.9,988.6,960.4,1309.8,1259.6,991.6,1153.8,823.1,1220.2,864.2,1316.6,1147.8,1364.5,1191.9
경상남도,1519.4,1242.9,1947.7,2112.1,1627.6,1287.3,1599.7,1521.7,923.6,1414.7,1572.9,1670.0,1689.3,1167.2,1579.0,1237.5,1737.1,876.4,1679.9,1588.4,1886.5,1480.3
제주특별자치도,1262.3,1599.5,1674.0,2176.7,1709.3,1253.3,1822.3,1679.5,1428.3,1549.5,1856.7,1579.0,2206.4,1001.7,1887.3,2108.8,1792.5,1221.6,1857.1,2102.3,1706.1,1809.5
