행정구역,2010,2010.1,2010.2,2010.3,2010.4,2010.5,2010.6,2010.7,2010.8,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8
행정구역,계,200m이하,200~400m,400~600m,600~800m,800~1000m,1000~1200m,1200~1400m,1400m이상,계,200m이하,200~400m,400~600m,600~800m,800~1000m,1000~1200m,1200~1400m,1400m이상
전체,13438,3827,4594,2610,1325,736,273,61,12,13158,3711,4527,2527,1324,725,273,61,10
서울특별시,30,22,8,-,-,-,-,-,-,42,27,15,-,-,-,-,-,-
부산광역시,95,54,25,16,-,-,-,-,-,224,98,79,39,7,1,-,-,-
대구광역시,118,52,29,29,8,-,-,-,-,65,38,7,20,-,-,-,-,-
인천광역시,28,24,4,-,-,-,-,-,-,25,21,4,-,-,-,-,-,-
광주광역시,36,21,7,8,-,-,-,-,-,11,11,-,-,-,-,-,-,-
대전광역시,57,21,29,7,-,-,-,-,-,16,12,4,-,-,-,-,-,-
세종특별자치시,150,72,43,20,11,4,-,-,-,116,52,30,20,10,4,-,-,-
울산광역시,-,-,-,-,-,-,-,-,-,37,35,2,-,-,-,-,-,-
경기도,1026,472,389,111,34,14,2,4,-,973,443,371,106,38,12,2,1,-
강원도,2877,204,665,689,690,428,180,19,2,2893,240,687,660,685,423,174,23,1
충청북도,1057,178,529,243,69,30,8,-,-,1026,172,520,240,66,27,1,-,-
충청남도,884,543,287,54,-,-,-,-,-,819,496,282,40,1,-,-,-,-
전라북도,957,219,351,220,89,49,19,6,4,926,208,341,212,92,47,18,7,1
전라남도,1322,625,483,154,31,17,5,7,-,1323,628,489,146,32,16,5,7,-
경상북도,3106,744,1194,784,257,105,20,2,-,3075,721,1187,771,259,107,30,-,-
경상남도,1569,560,526,247,112,77,30,13,4,1462,494,484,245,110,76,34,12,7
제주특별자치도,126,16,25,28,24,12,9,10,2,125,15,25,28,24,12,9,11,1
