시도(1),2010.1,2010.2,2010.3,2011.1,2011.2,2011.3,2012.1,2012.2,2012.3,2013.1,2013.2,2013.3,2014.1,2014.2,2014.3,2015.1,2015.2,2015.3,2016.1,2016.2,2016.3,2017.1,2017.2,2017.3,2018.1,2018.2,2018.3,2019.1,2019.2,2019.3
시도(1),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
시도(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
합계,16081,19,3795612,16317,20,3963740,17207,20,4337568,16739,20,4199896,16769,21,4394962,17238,21,4582405,17581,21,4652412,16994,21,4567026,17124,21,4563156,18609,21,4599617
서울,2898,21,718284,2898,24,741018,2898,24,838821,2898,24,794528,1998,24,514466,2898,24,763049,2898,24,749648,2898,24,732645,2898,24,745654,2898,24,713757
부산,840,24,252262,840,24,258970,840,24,259469,510,24,172664,510,24,153269,510,24,155897,510,24,151202,510,24,155142,510,24,155101,510,24,156891
대구,480,24,126811,480,24,130741,480,24,136477,480,24,135534,480,24,135534,480,24,132119,480,24,114857,480,24,90074,480,24,89394,480,24,81294
인천,957,12,264024,945,16,255265,957,11,270802,982,10,270802,1797,12,528056,877,11,268355,877,11,265832,878,10,287702,998,10,269884,997,10,237647
광주,400,19,85679,400,19,85679,320,24,85035,320,24,88301,320,24,88122,320,24,86937,320,24,71003,-,-,-,-,-,-,-,-,-
대전,400,24,102587,400,24,103227,400,24,104147,400,24,105694,400,24,101300,320,24,96790,320,24,98146,320,24,92569,320,24,88599,320,19,82359
울산,400,24,108058,400,24,105707,650,24,122733,650,24,122733,650,22,189552,650,21,187149,650,21,184790,650,21,177998,650,24,179823,950,24,276165
세종,-,-,-,-,-,-,45,24,13506,45,24,14514,45,24,13217,45,24,12358,45,24,12124,45,24,12602,45,24,12986,45,24,12468
경기,5215,22,1096629,5005,22,1096617,5130,23,1138641,5014,24,1126413,5114,24,1215225,5164,24,1299861,5304,24,1349194,5084,24,1325004,5084,24,1297414,5290,23,1303190
강원,264,19,51655,355,19,77536,576,20,150333,582,21,157409,582,21,159762,570,22,162556,578,23,160249,576,23,153847,577,23,147062,606,23,162649
충북,471,18,109358,465,19,108830,499,19,136353,499,20,154858,499,20,149270,709,20,182299,709,20,216085,709,21,216200,709,21,213730,741,22,219889
충남,566,22,158028,766,22,185556,685,23,194865,660,23,202038,660,23,206572,885,24,244524,1081,24,325939,1081,24,323025,1081,24,319475,1111,24,317772
전북,600,24,150255,600,24,152561,600,21,149453,600,21,158420,600,22,148723,600,24,146731,600,24,142662,601,24,145575,612,24,166028,612,24,141304
전남,518,12,86134,497,11,106931,500,11,106922,495,11,94479,496,11,118934,501,11,119037,502,11,118575,502,11,119192,500,11,120839,503,11,129952
경북,380,16,87872,565,18,151313,765,18,171634,739,19,175673,739,19,207659,837,20,229955,837,21,240669,830,21,240356,830,21,251101,1215,22,230654
경남,1417,20,331670,1427,21,333820,1582,23,388304,1587,22,362828,1601,23,396982,1594,24,425024,1594,24,431306,1554,24,429153,1554,24,439041,1554,24,443735
제주,275,10,66307,275,10,69970,279,10,70074,277,10,63009,278,10,68319,278,10,69765,276,13,20130,276,14,65942,276,14,67025,776,15,89891
