지역,2014,2015,2016,2017,2018,2019,2020,2021
전국,3082740,2896490,2820815,2884924,2947442,3059327,3197414,3373344
서울특별시,190,187,77,97,100,104,94,80
부산광역시,2228,1946,1571,1638,1661,1513,1536,1584
대구광역시,17642,15611,15009,14587,13852,13524,13140,12437
인천광역시,22832,20902,19770,19455,20464,20607,20842,20919
광주광역시,5415,4681,4195,4216,4056,4197,4203,3834
대전광역시,4998,4802,4721,4618,4624,4642,4492,4483
울산광역시,34271,32390,31532,31948,31827,32544,34539,36003
세종특별자치시,25200,23749,23903,24187,23545,25300,25464,25804
경기도,292647,274442,272806,280174,280464,285677,299516,307206
강원도,203354,190450,191114,198865,207730,214952,226914,238814
충청북도,211555,202451,199494,198904,202561,209390,219807,236477
충청남도,382052,353550,340973,349032,356251,374162,395375,420168
전라북도,352773,338554,330283,341880,351132,367667,388822,413595
전라남도,502580,460703,442158,455230,476966,507438,536232,570513
경상북도,669196,642643,627281,638795,648522,670466,693143,736245
경상남도,317677,293103,281508,286195,287307,290949,297580,308354
제주특별자치도,38130,36326,34420,35103,36380,36195,35715,36828
