,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,41.13,44.63666667,46.04,45.92282051,48.30277778,43.77,39.9,41.68680556,35
부산광역시,43.43888889,47.88541667,48.75,43.19618056,47.775,43.86150794,42.45945894,37.96978022,30
대구광역시,44.11458333,45.94791667,45.91517857,45.66815476,45.17857143,43.50595238,39.625,38.16666667,34
인천광역시,46.90740741,48.61111111,49.06481482,48.66782407,42.67261905,42.70238095,39.59143519,40.61011905,34
광주광역시,35.88333333,40.9,41.58333333,44.6375,42.06666667,42.69583333,39.80833333,40.72222222,30
대전광역시,38.61666667,42.6,42.66666667,47.38333333,44.61666667,45.08333333,40.16666667,42.83333333,33
울산광역시,49.91666667,47.06666667,44.73333333,45.85,45.41666667,42.11666667,42.25,40.92916667,30
경기도,51.10215054,55.44892473,54.91666667,51.31300755,50.67066185,51.56034483,43.65581201,43.69166667,39
강원도,42.1,44.88333333,47.55,51.525,55.10833333,54.14583333,45.64722222,41.23003008,30
충청북도,54.375,56.625,53.39583333,50.88888889,50.4375,45.94166667,41.75178571,44.53872054,34
충청남도,38.95833333,41.52083333,43.77083333,50.38194444,53.80555556,48.65340909,38.22745727,41.76025641,37
전라북도,46.95277778,50.11111111,50.22222222,52.10833333,50.33333333,43.625,42.60451817,42.55723443,33
전라남도,34.78333333,37.58333333,39.05,39.5,41.29583333,42.3125,38.61574074,37.08622867,28
경상북도,44.28373016,47.41666667,47.83333333,46.68095238,51.56944444,43.34583333,38.81944444,39.36820679,31
경상남도,43.43055556,46.70634921,47.625,42.22420635,42.1984127,47.51851852,42.41653439,38.32473545,29
제주특별시,33.20833333,46.25,49.16666667,40.79166667,39.04166667,42.91666667,41.58333333,42.5,30
세종특별시,,,,,46,47,40,44,36
