TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_ID,ORG_ID,UNIT_NM,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1272.5,A,00,전국(평균)
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,991.7,A,11,서울특별시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1760.2,A,21,부산광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1227.3,A,22,대구광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,899.7,A,23,인천광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1482.3,A,24,광주광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1228.4,A,25,대전광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1693.9,A,26,울산광역시
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1016.1,A,31,경기도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1065.1,A,32,강원도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1080.3,A,33,충청북도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,989.2,A,34,충청남도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1254.5,A,35,전라북도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1499.6,A,36,전라남도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1220.2,A,37,경상북도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1737.1,A,38,경상남도
강수량(시도),2016,DT_1YL9901,강수량,T10,101,㎜,㎜,행정구역별,by County,1792.5,A,39,제주특별자치도
