지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,1479.1,1162.9,1173.8,949.0,1272.5,967.8,1386.9,1193.0,1627.0,1249.2
서울특별시,1646.3,1403.8,808.9,792.1,991.7,1233.2,1284.1,891.3,1651.1,1186.5
부산광역시,1983.3,1130.1,1693.1,1396.7,1760.2,1014.4,1778.6,1623.2,2281.6,1807.8
대구광역시,1189.9,571.2,1047.6,548.5,1227.3,663.7,1297.6,995.7,1244.9,910.0
인천광역시,1221.6,1107.9,595.3,633.8,899.7,724.4,1012.6,864.7,1335.7,1068.4
광주광역시,1626.8,1245.4,1290.3,1049.6,1482.3,936.6,1427.9,1085.9,2027.0,1303.8
대전광역시,1409.5,1120.2,1117.7,822.7,1228.4,1127.5,1542.1,984.2,1614.0,1109.5
울산광역시,1458.1,858.3,1398.7,1044.6,1693.9,671.4,1416.1,1450.1,1557.9,1337.0
경기도,1531.9,1421.6,799.0,820.0,1016.1,1094.9,1316.7,1000.5,1585.0,1050.7
강원도,1264.7,1230.3,1006.0,893.9,1065.1,1101.8,1450.0,1094.6,1575.1,1129.9
충청북도,1409.5,1165.4,990.5,787.6,1080.3,1137.9,1370.7,941.1,1535.9,1151.2
충청남도,1455.7,1147.0,1060.7,713.0,989.2,1013.5,1313.7,913.2,1537.8,1171.7
전라북도,1547.6,1255.7,1281.9,933.0,1254.5,949.3,1435.3,1148.2,1822.2,1276.1
전라남도,1688.8,1206.4,1486.4,1246.3,1499.6,867.4,1479.3,1401.9,1616.3,1392.4
경상북도,1259.6,991.6,1153.8,823.1,1220.2,864.2,1316.6,1147.8,1364.5,1191.9
경상남도,1689.3,1167.2,1579.0,1237.5,1737.1,876.4,1679.9,1588.4,1886.5,1480.3
제주특별자치도,2206.4,1001.7,1887.3,2108.8,1792.5,1221.6,1857.1,2102.3,1706.1,1809.5
